STATE,MEN GENERAL,WOMEN GENERAL,THIRD GENERAL,TOTAL GENERAL,MEN OVERSEAS,WOMEN OVERSEAS,THIRD OVERSEAS,TOTAL OVERSEAS,MEN SERVICE,WOMEN SERVICE,THIRD SERVICE,TOTAL SERVICE
ANDHRA PRADESH,19721514,20204378,4066,39929958,5856,1578,2,7436,63360,2028,65388,40002782
ARUNACHAL PRADESH,394428,405230,0,799658,0,0,0,0,5514,60,5574,805232
ASSAM,11394405,10968659,438,22363502,0,0,0,0,59837,1419,61256,22424758
BIHAR,37912127,33907979,2344,71822450,63,9,0,72,151172,7729,158901,71981423
CHHATTISGARH,9574547,9553145,727,19128419,13,1,0,14,17422,725,18147,19146580
GOA,554326,581018,0,1135344,50,20,0,70,292,11,303,1135717
GUJARAT,23872512,22145933,1155,46019600,665,193,0,858,26804,778,27582,46048040
HARYANA,9792085,8532699,348,18325132,481,191,0,672,104662,4481,109143,18434947
HIMACHAL PRADESH,2655747,2595085,36,5250868,22,9,0,31,66270,1414,67684,5318583
JAMMU & KASHMIR,4037993,3739951,339,7778283,3,0,0,3,71808,758,72566,7850852
JHARKHAND,11507697,10473475,307,21981479,9,1,0,10,35907,1238,37145,22018634
KARNATAKA,26013124,25521253,4705,51539082,2762,1974,4,4740,44081,1401,45482,51589304
KERALA,12616789,13495097,149,26112035,83624,5577,12,89213,53428,2445,55873,26257121
MADHYA PRADESH,27098955,25025073,1444,52125472,73,28,0,101,72455,2075,74530,52200103
MAHARASHTRA,47097754,43077094,2823,90177671,4116,1526,0,5642,116497,3208,119705,90303018
MANIPUR,930931,981629,88,1912648,0,1,0,1,20941,401,21342,1933991
MEGHALAYA,960412,981434,1,1941847,1,2,0,3,3584,23,3607,1945457
MIZORAM,389243,410085,0,799328,0,0,0,0,4824,64,4888,804216
NAGALAND,604370,600289,0,1204659,0,0,0,0,7678,83,7761,1212420
ODISHA,16633693,15874175,2990,32510858,88,22,0,110,44413,1976,46389,32557357
PUNJAB,10891341,9761947,549,20653837,1258,387,0,1645,109846,2609,112455,20767937
RAJASTHAN,25237132,23273743,268,48511143,201,84,0,285,135912,3947,139859,48651287
SIKKIM,216850,209270,6,426126,0,0,0,0,1869,21,1890,428016
TAMIL NADU,30036390,30904027,6476,60946893,2711,575,0,3286,69225,1693,70918,61021097
TELANGANA,15039786,14888917,1589,29930292,2157,493,1,2651,12189,452,12641,29945584
TRIPURA,1337068,1305522,26,2642616,0,0,0,0,9638,152,9790,2652406
UTTARAKHAND,4023812,3684375,220,7708407,0,0,0,0,91343,2503,93846,7802253
UTTAR PRADESH,78499019,66665112,7677,145171808,788,332,0,1120,278276,11594,289870,145462798
WEST BENGAL,36737961,35201428,1495,71940884,86,41,0,127,108248,3615,111863,72052874
A & N ISLANDS,160599,144293,12,304904,4,0,0,4,587,36,623,305531
CHANDIGARH,328018,294247,20,622285,30,24,0,54,586,87,673,623012
D & N HAVELI,132124,118329,0,250453,0,0,0,0,11,0,11,250464
DAMAN & DIU,58265,58002,0,116267,1,0,0,1,11,0,11,116279
LAKSHADWEEP,27927,27104,0,55031,0,0,0,0,145,1,146,55177
NCT OF DELHI,8055361,6635471,815,14691647,325,164,0,489,9820,1736,11556,14703692
